,name,club,rank,category,points,id,link
247,אלכסיי סקידנוב,הפועל אשדוד,248,S40,813.7,6930,/p/6930/אלכסיי-סקידנוב
248,ניר חן,הפועל יוקנעם,249,S40,812.4,4576,/p/4576/ניר-חן
249,עידו דפני,הפועל לוד,250,C14,811.4,4494,/p/4494/עידו-דפני
250,דני בן שיטרית,מועדון ספורט מעלה אדומים,251,S60,810.7,303,/p/303/דני-בן-שיטרית
251,איתמר מזרחי,ללא מועדון,252,S,809.9,187,/p/187/איתמר-מזרחי
252,אלכסנדר שפירו,עירוני טנ''ש ראש העין,253,S40,808.3,4102,/p/4102/אלכסנדר-שפירו
253,יפתח גסר,מכבי תל אביב,254,S60,806.3,1685,/p/1685/יפתח-גסר
254,רועי כהן,אופק קריית אונו,255,E20,805.4,2438,/p/2438/רועי-כהן
255,אלכסנדר אבשלומוב,טנ''ש נס ציונה,256,S40,805.0,911,/p/911/אלכסנדר-אבשלומוב
256,יובל רוטיץ,מכבי זאב זכרון יעקב,257,S,804.6,1189,/p/1189/יובל-רוטיץ
257,ערן ניר,מכבי זאב זכרון יעקב,258,S50,804.2,7025,/p/7025/ערן-ניר
258,יעקב ירוסלימסקי,בית''ר ראשון לציון,259,S50,803.9,3112,/p/3112/יעקב-ירוסלימסקי
259,דניאל דרזנר,מכבי גדרה,260,S50,802.5,952,/p/952/דניאל-דרזנר
260,מיכאל קרדונסקי,הפועל אילת,261,S40,802.4,1902,/p/1902/מיכאל-קרדונסקי
261,דן ריביניק,הפועל בת ים,262,S40,801.5,1855,/p/1855/דן-ריביניק
262,פליקס קפלן,"מ. טנ""ש ויקטור נתניה",263,S70,801.0,8059,/p/8059/פליקס-קפלן
263,עופר סיארה,מכבי זאב זכרון יעקב,264,S50,799.9,1711,/p/1711/עופר-סיארה
264,דניאל שלום,טנ''ש נס ציונה,265,S40,799.1,906,/p/906/דניאל-שלום
265,גבריאל גנדלמן,הפועל אשדוד,266,J18,799.1,4898,/p/4898/גבריאל-גנדלמן
266,ניקולאי שר,ללא מועדון,267,S40,796.8,877,/p/877/ניקולאי-שר
267,איילון בניימין,כרמל מרכזי טניס שולחן חיפה,268,C14,796.3,3736,/p/3736/איילון-בניימין
268,עמוס גינזבורג,מכבי ראשל''צ טנ''ש,269,S,796.2,2242,/p/2242/עמוס-גינזבורג
269,דיאגו שיקינסקי,הפועל עירוני נוף הגליל,270,S50,794.7,1526,/p/1526/דיאגו-שיקינסקי
270,אדיר דנינו,הפועל ירושלים,271,S,794.5,4704,/p/4704/אדיר-דנינו
271,רוסלן ברקוטוב,מ.ק.מתנ''ס קריית גת,272,S50,793.8,1328,/p/1328/רוסלן-ברקוטוב
272,אברהם שטרן,הפועל עירוני צפת,273,S50,792.1,1532,/p/1532/אברהם-שטרן
273,אריאל אזנקוט,מכבי שהם,274,S50,791.9,6929,/p/6929/אריאל-אזנקוט
274,אנטולי רפופורט,הפועל אילת,275,S,791.2,7655,/p/7655/אנטולי-רפופורט
275,שי אוחיון,מועדון ספורט מעלה אדומים,276,S,790.4,5856,/p/5856/שי-אוחיון
276,נדב פרצי,בית''ר ראשון לציון,277,J17,787.2,4621,/p/4621/נדב-פרצי
277,ולרי סרייב,בית''ר רמלה,278,S50,786.1,3804,/p/3804/ולרי-סרייב
278,דן קריב,הפועל עירוני נוף הגליל,279,S50,784.1,2796,/p/2796/דן-קריב
279,אילן אשכנזי,מ. בני הרצליה,280,S40,783.1,7186,/p/7186/אילן-אשכנזי
280,רועי בכר,הפועל רמת ישי,281,J18,782.6,6185,/p/6185/רועי-בכר
281,אולג יוסימוב,הפועל חיפה,282,S50,781.7,508,/p/508/אולג-יוסימוב
282,ישי אדרי,טניס שולחן חיפה,283,C15,778.5,4250,/p/4250/ישי-אדרי
283,מורן גביש,מכבי זאב זכרון יעקב,284,S40,778.4,3095,/p/3095/מורן-גביש
284,אפרים מרדכייב,בית''ר באר שבע,285,S50,777.9,1327,/p/1327/אפרים-מרדכייב
285,ברק בינדר,מ. בני הרצליה,286,S,776.6,850,/p/850/ברק-בינדר
286,ניב אברהם,כרמל מרכזי טניס שולחן חיפה,287,J16,774.1,5595,/p/5595/ניב-אברהם
287,דניס לב,בית''ר באר שבע,288,S,770.1,734,/p/734/דניס-לב
288,תומר הרכבי,הפועל דרום השרון,289,S40,766.4,2198,/p/2198/תומר-הרכבי
289,אלכס רייצס,מועדון ספורט מעלה אדומים,290,S40,765.3,289,/p/289/אלכס-רייצס
290,אסף אלמן,"מ. טנ""ש ויקטור נתניה",291,S40,764.6,6025,/p/6025/אסף-אלמן
291,ניר סקיטל,ללא מועדון,292,S40,763.1,2326,/p/2326/ניר-סקיטל
292,עירן ברנזון,הפועל עירוני צפת,293,S50,763.0,1540,/p/1540/עירן-ברנזון
293,מיכאל גינזבורג,מכבי גבירול באר שבע,294,S60,762.2,1701,/p/1701/מיכאל-גינזבורג
294,איתי שחק,הפועל לוד,295,S,762.2,720,/p/720/איתי-שחק
295,אולג סטרוילוב,הפועל עירוני נוף הגליל,296,S60,758.6,8134,/p/8134/אולג-סטרוילוב
296,יאיר שרעבי,מכבי ראשל''צ טנ''ש,297,S70,755.5,1006,/p/1006/יאיר-שרעבי
297,רון צפור,הפועל ירושלים,298,S40,755.2,2157,/p/2157/רון-צפור
298,גולן סלמן,קאנטרי ג' תל אביב,299,S,755.2,2575,/p/2575/גולן-סלמן
299,יבגני מנזנוב,ללא מועדון,300,S,754.8,6346,/p/6346/יבגני-מנזנוב
300,אורי כהן,אופק קריית אונו,301,C15,754.7,6614,/p/6614/אורי-כהן
301,ניר בראון,מכבי שהם,302,S,751.8,1775,/p/1775/ניר-בראון
302,גיא צבי,הפועל ירושלים,303,S,749.1,188,/p/188/גיא-צבי
303,עודד נחשול,הפועל חיפה,304,S40,747.8,1248,/p/1248/עודד-נחשול
304,זיו גוטמן,הפועל טנ''ש באר שבע,305,S,747.0,824,/p/824/זיו-גוטמן
305,דניס גונוחוב,"מ. טנ""ש ויקטור נתניה",306,S40,746.2,2245,/p/2245/דניס-גונוחוב
306,יצחק ישראל,אליצור קריית אתא,307,S50,744.4,1230,/p/1230/יצחק-ישראל
307,מתן עופר,כרמל מרכזי טניס שולחן חיפה,308,S40,743.7,913,/p/913/מתן-עופר
308,אולג לנגרמן,אליצור קריית אתא,309,S40,743.4,1989,/p/1989/אולג-לנגרמן
309,ולדימיר שנדרנקו,כרמל מרכזי טניס שולחן חיפה,310,S60,742.7,985,/p/985/ולדימיר-שנדרנקו
310,שי רחמני,מכבי שהם,311,S40,741.2,1642,/p/1642/שי-רחמני
311,לב יופה,כרמל מרכזי טניס שולחן חיפה,312,S70,740.0,3695,/p/3695/לב-יופה
312,איגור נובק,טניס שולחן חיפה,313,S40,739.1,2606,/p/2606/איגור-נובק
313,דניאל קרבצ'נקו,מ. בני הרצליה,314,C14,738.6,4404,/p/4404/דניאל-קרבצ-נקו
314,אלון ארגמן,ללא מועדון,315,S40,735.8,7415,/p/7415/אלון-ארגמן
315,סרגיי יגורוב,אליצור קריית אתא,316,S,735.5,2799,/p/2799/סרגיי-יגורוב
316,דמיטרי רוגובין,הפועל טנ''ש באר שבע,317,S,734.3,1398,/p/1398/דמיטרי-רוגובין
317,אלברט לרמן,הישגי כרמיאל,318,S60,733.4,4298,/p/4298/אלברט-לרמן
318,רונן טולדנו,מכבי שהם,319,S50,732.8,1876,/p/1876/רונן-טולדנו
319,גילעד הוזליך,מכבי זאב זכרון יעקב,320,S,732.0,526,/p/526/גילעד-הוזליך
320,אייל פיירשטיין,הפועל ארנון רמת גן,321,S,728.6,764,/p/764/אייל-פיירשטיין
321,אבישי אבוחצירא,הפועל ירושלים,322,S,727.6,4526,/p/4526/אבישי-אבוחצירא
322,יפים גלייזר,מכבי גבירול באר שבע,323,S60,723.8,1544,/p/1544/יפים-גלייזר
323,עומרי שקד,מכבי רחובות,324,S40,723.4,7141,/p/7141/עומרי-שקד
324,דוד אלכסנדרוביץ,הפועל לוד,325,S,723.3,2997,/p/2997/דוד-אלכסנדרוביץ
